OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
44,730,PENDERBROOK,Fairfax,2016-03-16T11:51:43.000Z,stulad,730,PENDERBROOK,Fairfax County,Hillary Clinton,0.224026,10,616,588,616,Hillary Clinton,Hillary Clinton,361,0.586039,Martin J. O'Malley,Martin J. O'Malley,4,0.006494,Bernie Sanders,Bernie Sanders,223,0.362013
45,317,WESTHAMPTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,317,WESTHAMPTON,Fairfax County,Hillary Clinton,0.272887,10,568,532,568,Hillary Clinton,Hillary Clinton,341,0.600352,Martin J. O'Malley,Martin J. O'Malley,5,0.008803,Bernie Sanders,Bernie Sanders,186,0.327465
46,307,HAYCOCK,Fairfax,2016-03-16T11:51:43.000Z,stulad,307,HAYCOCK,Fairfax County,Hillary Clinton,0.356083,30,674,633,674,Hillary Clinton,Hillary Clinton,434,0.643917,Martin J. O'Malley,Martin J. O'Malley,5,0.007418,Bernie Sanders,Bernie Sanders,194,0.287834
47,312,LONGFELLOW,Fairfax,2016-03-16T11:51:43.000Z,stulad,312,LONGFELLOW,Fairfax County,Hillary Clinton,0.174757,10,618,559,618,Hillary Clinton,Hillary Clinton,332,0.537217,Martin J. O'Malley,Martin J. O'Malley,3,0.004854,Bernie Sanders,Bernie Sanders,224,0.36246
48,714,WALKER,Fairfax,2016-03-16T11:51:43.000Z,stulad,714,WALKER,Fairfax County,Hillary Clinton,0.230303,10,660,622,660,Hillary Clinton,Hillary Clinton,386,0.584848,Martin J. O'Malley,Martin J. O'Malley,2,0.00303,Bernie Sanders,Bernie Sanders,234,0.354545
49,315,PIMMIT,Fairfax,2016-03-16T11:51:43.000Z,stulad,315,PIMMIT,Fairfax County,Hillary Clinton,0.118797,10,665,647,665,Hillary Clinton,Hillary Clinton,361,0.542857,Martin J. O'Malley,Martin J. O'Malley,3,0.004511,Bernie Sanders,Bernie Sanders,282,0.42406
50,310,KIRBY,Fairfax,2016-03-16T11:51:43.000Z,stulad,310,KIRBY,Fairfax County,Hillary Clinton,0.36,30,525,480,525,Hillary Clinton,Hillary Clinton,334,0.63619,Martin J. O'Malley,Martin J. O'Malley,1,0.001905,Bernie Sanders,Bernie Sanders,145,0.27619
51,305,EL NIDO,Fairfax,2016-03-16T11:51:43.000Z,stulad,305,EL NIDO,Fairfax County,Hillary Clinton,0.373041,30,638,561,638,Hillary Clinton,Hillary Clinton,398,0.623824,Martin J. O'Malley,Martin J. O'Malley,3,0.004702,Bernie Sanders,Bernie Sanders,160,0.250784
52,318,WESTMORELAND,Fairfax,2016-03-16T11:51:43.000Z,stulad,318,WESTMORELAND,Fairfax County,Hillary Clinton,0.232,10,375,341,375,Hillary Clinton,Hillary Clinton,214,0.570667,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,127,0.338667
53,302,CHESTERBROOK,Fairfax,2016-03-16T11:51:43.000Z,stulad,302,CHESTERBROOK,Fairfax County,Hillary Clinton,0.464888,30,712,631,712,Hillary Clinton,Hillary Clinton,480,0.674157,Martin J. O'Malley,Martin J. O'Malley,2,0.002809,Bernie Sanders,Bernie Sanders,149,0.20927
54,301,CHAIN BRIDGE,Fairfax,2016-03-16T11:51:43.000Z,stulad,301,CHAIN BRIDGE,Fairfax County,Hillary Clinton,0.365217,30,690,597,690,Hillary Clinton,Hillary Clinton,424,0.614493,Martin J. O'Malley,Martin J. O'Malley,1,0.001449,Bernie Sanders,Bernie Sanders,172,0.249275
55,323,SHOUSE,Fairfax,2016-03-16T11:51:43.000Z,stulad,323,SHOUSE,Fairfax County,Hillary Clinton,0.312016,30,516,462,516,Hillary Clinton,Hillary Clinton,309,0.598837,Martin J. O'Malley,Martin J. O'Malley,4,0.007752,Bernie Sanders,Bernie Sanders,148,0.286822
56,240,COLVIN,Fairfax,2016-03-16T11:51:43.000Z,stulad,240,COLVIN,Fairfax County,Hillary Clinton,0.287356,10,435,394,435,Hillary Clinton,Hillary Clinton,258,0.593103,Martin J. O'Malley,Martin J. O'Malley,3,0.006897,Bernie Sanders,Bernie Sanders,133,0.305747
57,322,FORESTVILLE,Fairfax,2016-03-16T11:51:43.000Z,stulad,322,FORESTVILLE,Fairfax County,Hillary Clinton,0.22736,10,519,471,519,Hillary Clinton,Hillary Clinton,294,0.566474,Martin J. O'Malley,Martin J. O'Malley,1,0.001927,Bernie Sanders,Bernie Sanders,176,0.339114
58,419,LANE,Fairfax,2016-03-16T11:51:43.000Z,stulad,419,LANE,Fairfax County,Hillary Clinton,0.261204,10,781,748,781,Hillary Clinton,Hillary Clinton,473,0.605634,Martin J. O'Malley,Martin J. O'Malley,6,0.007682,Bernie Sanders,Bernie Sanders,269,0.34443
59,710,PINE SPRING,Fairfax,2016-03-16T11:51:43.000Z,stulad,710,PINE SPRING,Fairfax County,Hillary Clinton,0.256809,10,514,494,514,Hillary Clinton,Hillary Clinton,312,0.607004,Martin J. O'Malley,Martin J. O'Malley,2,0.003891,Bernie Sanders,Bernie Sanders,180,0.350195
