OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,REGVOTERS,TOTBALLOTSLINK,PERCVOTE,INPERSON,TOTBALLOTS
34,928,POPLAR TREE,Fairfax,2016-03-16T11:51:51.000Z,stulad,928,POPLAR TREE,Fairfax County,2743,729,0.265767,704,729
35,515,WESTLAWN,Fairfax,2016-03-16T11:51:51.000Z,stulad,515,WESTLAWN,Fairfax County,1562,210,0.134443,208,210
36,705,GRAHAM-GREENWAY,Fairfax,2016-03-16T11:51:51.000Z,stulad,705,GRAHAM-GREENWAY,Fairfax County,3214,514,0.159925,500,514
37,903,CUB RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,903,CUB RUN,Fairfax County,3754,840,0.223761,806,840
38,846,GREENBRIAR EAST,Fairfax,2016-03-16T11:51:51.000Z,stulad,846,GREENBRIAR EAST,Fairfax County,3211,578,0.180006,557,578
39,913,ROCKY RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,913,ROCKY RUN,Fairfax County,4099,1018,0.248353,973,1018
40,847,GREENBRIAR WEST,Fairfax,2016-03-16T11:51:51.000Z,stulad,847,GREENBRIAR WEST,Fairfax County,2139,522,0.244039,497,522
41,915,VIRGINIA RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,915,VIRGINIA RUN,Fairfax County,2756,885,0.321118,852,885
42,720,THOREAU,Fairfax,2016-03-16T11:51:51.000Z,stulad,720,THOREAU,Fairfax County,2708,665,0.245569,631,665
43,904,STONECROFT,Fairfax,2016-03-16T11:51:51.000Z,stulad,904,STONECROFT,Fairfax County,1635,408,0.249541,397,408
44,730,PENDERBROOK,Fairfax,2016-03-16T11:51:51.000Z,stulad,730,PENDERBROOK,Fairfax County,3140,657,0.209236,624,657
45,317,WESTHAMPTON,Fairfax,2016-03-16T11:51:51.000Z,stulad,317,WESTHAMPTON,Fairfax County,2119,487,0.229825,460,487
46,307,HAYCOCK,Fairfax,2016-03-16T11:51:51.000Z,stulad,307,HAYCOCK,Fairfax County,2337,585,0.250321,555,585
47,312,LONGFELLOW,Fairfax,2016-03-16T11:51:51.000Z,stulad,312,LONGFELLOW,Fairfax County,2538,612,0.241135,576,612
48,714,WALKER,Fairfax,2016-03-16T11:51:51.000Z,stulad,714,WALKER,Fairfax County,3277,553,0.168752,531,553
