Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
MC CARTHY PARK RECREATION BUILDING,Y,8600049,8600067,8600050,,,,16801 S 80TH AVE,TINLEY PARK,-87.8127815201,41.5847648758,"(41.5847648758, -87.8127815201)"
NATIVITY BVM UKR CATHOLIC CHURCH,Y,8800001,8800016,8800024,,,,8530 W 131ST ST,PALOS PARK,-87.8285582254,41.6535633065,"(41.6535633065, -87.8285582254)"
PALOS PARK REC CNTR,Y,8800002,8800010,8800029,,,,8901 123RD ST,PALOS PARK,-87.83772802,41.666701312,"(41.666701312, -87.83772802)"
KRUEGER PARK,Y,8800004,,,,,,9100 S 88TH AVE,HICKORY HILLS,-87.8387037429,41.7259214896,"(41.7259214896, -87.8387037429)"
PALOS HILLS COMM CENTER,Y,8800007,8800035,,,,,8455 W 103RD ST,PALOS HILLS,-87.8288448201,41.7032517396,"(41.7032517396, -87.8288448201)"
ROSEBUD MHC,Y,8800006,,,,,,8800 S HARLEM AVE,BRIDGEVIEW,-87.8080724519,41.7295259076,"(41.7295259076, -87.8080724519)"
CITY OF PALOS HILLS,Y,8800026,8800038,,,,,10335 S ROBERTS RD,PALOS HILLS,-87.8165876835,41.7033729476,"(41.7033729476, -87.8165876835)"
GREEN HILLS LIBRARY,Y,8800005,8800028,,,,,8611 W 103RD ST,PALOS HILLS,-87.8312592463,41.7033532834,"(41.7033532834, -87.8312592463)"
LUTHERAN CHURCH OF GOOD SHEPHERD,Y,8800003,8800009,8800015,8800030,,,7800 W MCCARTHY RD,PALOS HEIGHTS,-87.8106906083,41.6649795833,"(41.6649795833, -87.8106906083)"
ALL SAINTS LUTHERAN CHURCH,Y,8800011,,,,,,13350 LA GRANGE RD,ORLAND PARK,-87.854603134,41.6471142467,"(41.6471142467, -87.854603134)"
WORTHWOOD SCHOOL,Y,8800008,8800012,,,,,11000 S OKETO AVE,WORTH,-87.8029816627,41.6912582226,"(41.6912582226, -87.8029816627)"
PEACE MEMORIAL CHURCH,Y,8800013,8800037,8800039,,,,10300 131ST ST,PALOS PARK,-87.8708517145,41.6525566184,"(41.6525566184, -87.8708517145)"
PALOS HILLS GOLF COURSE,Y,8800014,,,,,,7301 W 105TH ST,PALOS HILLS,-87.7991668328,41.7007137705,"(41.7007137705, -87.7991668328)"
HICKORY HILLS COMM CENTER,Y,8800017,8800023,,,,,7800 W 89TH PL,HICKORY HILLS,-87.8135771175,41.7290737839,"(41.7290737839, -87.8135771175)"
SAVIOR DIVINE LUTHERAN CHURCH,Y,8800031,,,,,,10040 S 88TH AVE,PALOS HILLS,-87.8375349561,41.7077337104,"(41.7077337104, -87.8375349561)"
HICKORY HILLS PRESBYTERIAN CHURCH,Y,8800018,8800027,,,,,8426 W 95TH ST,HICKORY HILLS,-87.828193844,41.7187184564,"(41.7187184564, -87.828193844)"
PALOS TWP HALL,Y,8800032,,,,,,10802 S ROBERTS RD,PALOS HILLS,-87.8175390572,41.6952303838,"(41.6952303838, -87.8175390572)"
OAK HILLS CONDO,Y,8800033,,,,,,13250 S 76TH AVE,PALOS HEIGHTS,-87.8062111365,41.6506612642,"(41.6506612642, -87.8062111365)"
SACRED HEART CHURCH,Y,8800021,8800034,8800036,,,,8245 W 111TH ST,PALOS HILLS,-87.821596448,41.6888287982,"(41.6888287982, -87.821596448)"
UNIVERSAL SCHOOL,Y,8800025,,,,,,7350 W 93RD ST,BRIDGEVIEW,-87.8016828197,41.7229523273,"(41.7229523273, -87.8016828197)"
ST PATRICIA PARISH,Y,8800019,,,,,,9000 S 86TH AVE,PALOS HILLS,-87.8335108964,41.7274098773,"(41.7274098773, -87.8335108964)"
CITY OF HICKORY HILLS,Y,8800020,,,,,,8652 W 95TH ST,HICKORY HILLS,-87.834775076,41.7186139852,"(41.7186139852, -87.834775076)"
WILLOWBROOK BALLROOM & BANQUETS,Y,8800022,,,,,,8900 S ARCHER AVE,WILLOW SPRINGS,-87.8819372101,41.7283672171,"(41.7283672171, -87.8819372101)"
LINCOLN SCHOOL,Y,8900001,8900002,,,,,811   CHICAGO AVE,MAYWOOD,-87.8436281668,41.8938181349,"(41.8938181349, -87.8436281668)"
OPERATION UPLIFT CENTER,Y,8900052,,,,,,104  S 5TH AVE,MAYWOOD,-87.8396881508,41.8876559014,"(41.8876559014, -87.8396881508)"
HILLSIDE COMM CENTER,Y,8900003,8900093,,,,,1  N LIND AVE,HILLSIDE,-87.9056702648,41.870290983,"(41.870290983, -87.9056702648)"
LEXINGTON SCHOOL,Y,8900004,8900037,,,,,415   LEXINGTON ST,MAYWOOD,-87.8378188327,41.8702269974,"(41.8702269974, -87.8378188327)"
GARFIELD SCHOOL,Y,8900040,8900042,,,,,1514  S 9TH AVE,MAYWOOD,-87.8441342305,41.874193163,"(41.874193163, -87.8441342305)"
JANE ADDAMS SCHOOL,Y,8900098,8900100,,,,,910   DIVISION ST,MELROSE PARK,-87.8455457463,41.9003364331,"(41.9003364331, -87.8455457463)"
BULGER PARK HALL,Y,8900012,,,,,,1601A HIRSCH ST,MELROSE PARK,-87.853537398,41.9046927622,"(41.9046927622, -87.853537398)"
MELROSE PARK SCHOOL,Y,8900010,8900011,,,,,1715   LAKE ST,MELROSE PARK,-87.8546890907,41.8934011497,"(41.8934011497, -87.8546890907)"
HOWARD H ROHDE POST 888,Y,8900013,,,,,,241  E NORTH AVE,NORTHLAKE,-87.8941379895,41.9066435194,"(41.9066435194, -87.8941379895)"
